课程序号,课程代码,课程名称,课程类别,学历层次,学生类别,教学班名称,排课信息,教师工号,授课教师,教师所属部门,星期几,第几节,多少周,地点,授课语言,人数上限,实际人数,起始周,结束周,周数,周课时,总课时,学分,备注
1585,101562,中级宏观经济学,必修课,大学本科,本科生 ,23财务管理2班,,,,,,,,,,47,0,1,16,16,3,48,3,
1698,101562,中级宏观经济学,必修课,大学本科,本科生 ,23数学经济双学位班,,,,,,,,,,34,0,1,16,16,3,48,3,
1759,101562,中级宏观经济学,必修课,大学本科,本科生 ,23经济学1班,,,,,,,,,,20,0,1,16,16,3,48,3,
1768,101562,中级宏观经济学,必修课,大学本科,本科生 ,23经济学2班,,,,,,,,,,26,0,1,16,16,3,48,3,
1777,101562,中级宏观经济学,必修课,大学本科,本科生 ,23经济学3班,,,,,,,,,,22,0,1,16,16,3,48,3,
1784,101562,中级宏观经济学,必修课,大学本科,本科生 ,23经济数学双学位班,,,,,,,,,,40,0,1,16,16,3,48,3,
1918,101562,中级宏观经济学,必修课,大学本科,本科生 ,23公共管理1班,,,,,,,,,,26,0,1,16,16,3,48,3,
1925,101562,中级宏观经济学,必修课,大学本科,本科生 ,23公共管理2班,,,,,,,,,,22,0,1,16,16,3,48,3,
1742,105356,中级宏观经济学（中外）,必修课,大学本科,本科生 ,23数量经济（中外）,,,,,,,,,,31,0,1,16,16,3,48,3,
0044,101560,中级微观经济学,必修课,大学本科,本科生 ,24经济学拔尖班,,,,,,,,,,20,0,1,16,16,3,48,3,
0073,101560,中级微观经济学,必修课,大学本科,本科生 ,24法学金融双学位班,,,,,,,,,,40,0,1,16,16,3,48,3,
0083,101560,中级微观经济学,必修课,大学本科,本科生 ,24金融科技拔尖班,,,,,,,,,,21,0,1,16,16,3,48,3,
0090,101560,中级微观经济学,必修课,大学本科,本科生 ,24数字经济拔尖班,,,,,,,,,,20,0,1,16,16,3,48,3,
0097,101560,中级微观经济学,必修课,大学本科,本科生 ,24投资数学双学位班,,,,,,,,,,32,0,1,16,16,3,48,3,
0121,101560,中级微观经济学,必修课,大学本科,本科生 ,24财政学2班,,,,,,,,,,44,0,1,16,16,3,48,3,
0127,101560,中级微观经济学,必修课,大学本科,本科生 ,24财政学1班,,,,,,,,,,43,0,1,16,16,3,48,3,
0133,101560,中级微观经济学,必修课,大学本科,本科生 ,24投资学2班,,,,,,,,,,29,0,1,16,16,3,48,3,
0139,101560,中级微观经济学,必修课,大学本科,本科生 ,24投资学1班,,,,,,,,,,30,0,1,16,16,3,48,3,
0162,101560,中级微观经济学,必修课,大学本科,本科生 ,24会计学1班,,,,,,,,,,48,0,1,16,16,3,48,3,
0168,101560,中级微观经济学,必修课,大学本科,本科生 ,24会计学2班,,,,,,,,,,49,0,1,16,16,3,48,3,
